Total Execution Time(s);Logged Events;Total Used Memory(GB);Total Connected Fog Devices;Total Connected Network Devices;Total Cloud DataCenters;Total network Usage(MB);Total All Power Consumed(Watt);Total Power Consumed by Cloud(Watt);Total Cost of Cloud Services;Total Power Consumed by Edge Device(Watt);Total Cost of Edge Devices;Loop Delay Average - [VIDEOFRAME, video_motion_detector, car_deep_detector, post-processing, user_interface]
32.0;1043354;0.5449867248535156;60;43;1;10583.4125;37769152.64556012166;6099464.355268894;1624320.753383566;37769152.64556012166;1624320.753383566;222.4657023332741
25.0;1042008;-0.005105018615722656;60;43;1;10563.545833333334;37770890.34736087727;6094449.212881053;1618066.0506256216;37770890.34736087727;1618066.0506256216;222.40858454208725
36.0;1042018;-0.04524707794189453;60;43;1;10565.558333333332;37757601.82676513540;6098941.259755505;1623657.1771315818;37757601.82676513540;1623657.1771315818;222.64505431283354
23.0;1041670;-0.06068229675292969;60;43;1;10559.4875;37777870.40494856937;6097498.297979893;1621863.900372651;37777870.40494856937;1621863.900372651;222.5594505193746
28.0;1041994;0.1100301742553711;60;43;1;10565.729166666666;37767942.55273756267;6098238.991800561;1622969.502032014;37767942.55273756267;1622969.502032014;222.68854902639586
23.0;1041826;0.008706092834472656;60;43;1;10562.770833333334;37778257.00949580902;6095011.494407219;1618887.999107444;37778257.00949580902;1618887.999107444;222.9782086347948
22.0;1041790;0.015606880187988281;60;43;1;10563.329166666666;37774565.48741085587;6093605.673265615;1617015.4583247555;37774565.48741085587;1617015.4583247555;222.77257466510954
28.0;1042310;-0.06805801391601562;60;43;1;10569.3;37782805.28612485521;6092604.692844726;1615858.3693618549;37782805.28612485521;1615858.3693618549;222.52217818333216
23.0;1041770;-0.11523914337158203;60;43;1;10565.920833333334;37779313.20095860910;6094023.417923893;1617782.2225331573;37779313.20095860910;1617782.2225331573;222.6737512892257
24.0;1042522;0.20543575286865234;60;43;1;10572.55;37770530.65525124158;6098228.4706162745;1622778.4034692678;37770530.65525124158;1622778.4034692678;222.4563891298895
23.0;1042234;-0.11100292205810547;60;43;1;10569.4625;37771619.45503179786;6097445.737269165;1621833.602570737;37771619.45503179786;1621833.602570737;222.69732424407192
22.0;1041802;-0.09510040283203125;60;43;1;10562.441666666668;37769117.77214229763;6094644.791203636;1618333.232937273;37769117.77214229763;1618333.232937273;222.84705209625545
23.0;1042446;0.40104103088378906;60;43;1;10570.9875;37767095.60008207832;6096366.571059484;1620479.1016527931;37767095.60008207832;1620479.1016527931;222.66980244985254
21.0;1041908;-0.29044342041015625;60;43;1;10562.879166666668;37777942.77952735544;6096159.282153785;1620227.4161575327;37777942.77952735544;1620227.4161575327;222.5108819746411
24.0;1041930;-0.0443572998046875;60;43;1;10563.820833333333;37785684.81799804185;6097350.308921685;1621780.9166119697;37785684.81799804185;1621780.9166119697;222.56011088572555
22.0;1042042;0.3704814910888672;60;43;1;10563.270833333334;37772335.41895077917;6095523.362635547;1619447.507261684;37772335.41895077917;1619447.507261684;222.6554233040885
22.0;1041742;-0.1543569564819336;60;43;1;10561.45;37771939.75368539582;6099274.780744132;1624087.3339959309;37771939.75368539582;1624087.3339959309;222.61946064449435
23.0;1041906;0.036606788635253906;60;43;1;10563.325;37771885.47656151226;6096349.700057821;1620429.8536303022;37771885.47656151226;1620429.8536303022;222.36577956689712
20.0;1042456;0.39108753204345703;60;43;1;10570.433333333332;37783796.48201182858;6097930.550069677;1622505.2428878737;37783796.48201182858;1622505.2428878737;222.64667301217233
23.0;1042294;-0.3960742950439453;60;43;1;10567.845833333333;37771213.45236479485;6096113.463730892;1620178.9174310104;37771213.45236479485;1620178.9174310104;222.5887806329552
21.0;1041770;0.35762977600097656;60;43;1;10562.429166666667;37786035.34006745922;6094270.927059093;1617876.6000185765;37786035.34006745922;1617876.6000185765;222.67697407953804
24.0;1041748;-0.4452676773071289;60;43;1;10561.9125;37767064.53636422900;6095414.59169742;1619305.2046970702;37767064.53636422900;1619305.2046970702;222.70972192681435
20.0;1042374;0.32062625885009766;60;43;1;10570.720833333333;37778484.18188424447;6096281.989487877;1620386.5475330027;37778484.18188424447;1620386.5475330027;222.39622074103775
22.0;1041486;-0.4705066680908203;60;43;1;10553.779166666667;37775436.97852174696;6096477.465230342;1620591.7106904679;37775436.97852174696;1620591.7106904679;222.31390943834595
21.0;1041662;0.7124862670898438;60;43;1;10559.658333333333;37751617.03627993613;6097225.323829795;1621554.3272895569;37751617.03627993613;1621554.3272895569;222.4037721487741
22.0;1042168;-0.48026084899902344;60;43;1;10566.9875;37775269.18437938024;6098027.991376293;1622587.5058240548;37775269.18437938024;1622587.5058240548;222.41526870529793
20.0;1041738;0.16974163055419922;60;43;1;10560.491666666667;37789736.69986771633;6097567.9945668;1621972.5365519263;37789736.69986771633;1621972.5365519263;222.47534470708663
24.0;1041764;0.49880218505859375;60;43;1;10561.779166666667;37766337.83746264863;6093462.006031826;1616833.4706114235;37766337.83746264863;1616833.4706114235;222.56687616962637
26.0;1042042;-0.7689218521118164;60;43;1;10567.670833333334;37780435.01541572814;6095333.57631299;1619165.514876565;37780435.01541572814;1619165.514876565;222.3767145846449
21.0;1042224;0.3385162353515625;60;43;1;10569.291666666666;37765140.13950692577;6096378.967012645;1620465.9547466766;37765140.13950692577;1620465.9547466766;222.53795112872032